title,description,link,guid
"Flexibility and core conditioning","Sunday, July 30, 2017, 7:30&nbsp;&ndash;&nbsp;8:30am <br/><br/><img src=""http://www.trumba.com/i/DgAhwUGd48JuyzsAe20BOVig.jpg"" title=""Flexibility and core conditioning"" alt=""Flexibility and core conditioning"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Increase the flexibility throughout your entire body with our class focused on static stretches and abdominal exercises designed to strengthen and lengthen muscles, improve posture, increase overall stability of your body and aid in the prevention of injury. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being <br/><b>Bookings</b>:&nbsp;Bookings essential. To book phone Suanne at Fitness Forever on 0414 437 616. <br/><b>Meeting point</b>:&nbsp;Park bench near the dragon playground <br/><b>Requirements</b>:&nbsp;Yoga mat or towel <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221639&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Majestic Park, Coorparoo</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.508477,153.06726(Majestic+Park%2c+Coorparoo)"" target=""_blank"">Majestic Park, 62 Park Street, Coorparoo</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978182,
"Flexibility and core conditioning",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978182,,"Bookings essential. Increase the flexibility throughout your entire body with our class focused on static stretches and abdominal exercises designed to strengthen and lengthen muscles, improve posture, increase overall stability of your body and aid in the prevention of injury."
"Wetlands social ride and bike maintenance","Sunday, July 30, 2017, 7:30&nbsp;&ndash;&nbsp;9:30am <br/><br/><img src=""http://www.trumba.com/i/DgAHYRxt0CN72I2PoCfA-gD2.jpg"" title=""Wetlands social ride and bike maintenance"" alt=""Wetlands social ride and bike maintenance"" width=""132"" height=""79"" /><br/><br/>Bookings essential. Don&#39;t get caught out, learn how to change a tyre and&#160;keep your bike rolling with basic maintenance tips. Then come along on a social ride to explore the beautiful Boondall Wetlands Reserve along the 13km return journey of the Boondall bikeway to Nudgee Beach, including a stop at Anne Beasley lookout and then return.<br /> <br /> Presented as part of Council&#8217;s Active and Healthy &amp; Cycling Brisbane programs. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Bookings essential. To book visit&#160;<a href=""https://www.eventbrite.com.au/e/bike-maintenance-and-boondall-tour-tickets-35128553449"" target=""_blank"">Eventbrite</a>&#160;or for more information phone Cycle Away on 0427 431 481. <br/><b>Meeting point</b>:&nbsp;Environmental Centre picnic area. <br/><b>Requirements</b>:&nbsp;Bike, helmet, insect repellent and sunscreen. <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221577&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Boondall Wetlands Environment Centre</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.340807,153.0764163(Boondall+Wetlands+Environment+Centre)"" target=""_blank"">Boondall Wetlands Environment Centre, 31 Paperbark Drive (entry via Stanworth Rd), Boondall</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978585,
"Wetlands social ride and bike maintenance",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978585,,"Bookings essential. Don't get caught out, learn how to change a tyre and&nbsp;keep your bike rolling with basic maintenance tips. Then come along on a social ride to explore the beautiful Boondall Wetlands Reserve along the 13km return journey of the Boondall bikeway to Nudgee Beach, including a stop at Anne Beasley lookout and then return.
 
 Presented as part of Council’s Active and Healthy &amp; Cycling Brisbane programs."
Yoga,"Sunday, July 30, 2017, 7:30&nbsp;&ndash;&nbsp;8:30am <br/><br/><img src=""http://www.trumba.com/i/DgDUD-DeCfFsj7viSqa6f83A.jpg"" title=""Yoga"" alt=""Yoga"" width=""132"" height=""79"" /><br/><br/>Come enjoy a sweet-tempered free yoga session by the beautiful Manly foreshore before enjoying the delights of the markets and cafe . All levels welcome! <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information phone John on 0403 676 435. <br/><b>Meeting point</b>:&nbsp;At the end of Stewart Parade, near the Sea Scouts <br/><b>Requirements</b>:&nbsp;Yoga mat or towel <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=274793&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Darling Point Park (road reserve)</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.447102,153.187002(Darling+Point+Park+road+reserve)"" target=""_blank"">Darling Point Park (road reserve), 95 Lower Esplanade, Manly</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953807,
Yoga,http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123953807,,"Come enjoy a sweet-tempered free yoga session by the beautiful Manly foreshore before enjoying the delights of the markets and cafe . All levels welcome!"
"Tai Chi Qigong","Sunday, July 30, 2017, 8&nbsp;&ndash;&nbsp;9am <br/><br/><img src=""http://www.trumba.com/i/DgALKdFlZbzAswCk-GYWOHsb.jpg"" title=""Tai Chi Qigong"" alt=""Tai Chi Qigong"" width=""132"" height=""79"" /><br/><br/>This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world&#39;s most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome. <br/><br/><b>Cost</b>:&nbsp;Free <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being, Free <br/><b>Bookings</b>:&nbsp;Not required. For more information visit&#160;<a href=""http://www.livingchi.com.au"" target=""_blank"">Australian Academy of Tai Chi</a> or phone 07 3358 1955. <br/><b>Meeting point</b>:&nbsp;Near playground on Sydney Street, Fairfield. <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221670&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Robinson Park, Fairfield</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.508533,153.023566(Robinson+Park%2c+Fairfield)"" target=""_blank"">Robinson Park, 65 Ashby Street, Fairfield</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978246,
"Tai Chi Qigong",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978246,,"This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world's most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome."
"Tai Chi Qigong","Sunday, July 30, 2017, 8&nbsp;&ndash;&nbsp;9am <br/><br/><img src=""http://www.trumba.com/i/DgAgbjXb368qyzSFwoeDO1iM.jpg"" title=""Tai Chi Qigong"" alt=""Tai Chi Qigong"" width=""132"" height=""79"" /><br/><br/>This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world&#39;s most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome. <br/><br/><b>Cost</b>:&nbsp;$5 <br/><b>Event type</b>:&nbsp;Fitness &amp; well-being <br/><b>Bookings</b>:&nbsp;Not required. For more information visit&#160;<a href=""http://www.livingchi.com.au"" target=""_blank"">Australian Academy of Tai Chi</a> or phone 07 3358 1955. <br/><b>Meeting point</b>:&nbsp;Near the playground. <br/><b>Venue</b>:&nbsp;<a href=""javascript:Nav(&#39;objectid=221690&amp;objecttype=19243&amp;view=object&amp;-childview=&amp;-index=&#39;,&#39;detailBase&#39;)"">Woolcock Park, Red Hill</a> <br/><b>Venue address</b>:&nbsp;<a href=""http://maps.google.com/?q=-27.447563,153.000869(Woolcock+Park%2c+Red+Hill)"" target=""_blank"">Woolcock Park, 92 Waterworks Road, Red Hill</a> <br/><br/>",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978257,
"Tai Chi Qigong",http://www.brisbane.qld.gov.au/whats-on/events-listed-type/sports-recreation-programs/active-parks-events?trumbaEmbed=view%3devent%26eventid%3d123978257,,"This dynamic activity is invigorating, works with both your body and your mind and will help you feel relaxed, refreshed and calm. Tai Chi is becoming recognised as the world's most beneficial healthy system. Rejuvenate your body and learn to create a tranquil mind. Join any week - all welcome."
